ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
NTGA,medium_airport,Anaa Airport,10,OC,PF,PF-U-A,Anaa,NTGA,AAA,,"-17.3526, -145.509995"
YARY,small_airport,Arrabury Airport,334,OC,AU,AU-QLD,Tanbar,YARY,AAB,,"-26.69639, 141.048718"
HEAR,medium_airport,El Arish International Airport,118,AS,EG,EG-SIN,El Arish,HEAR,AAC,,"31.078565, 33.836791"
AAD,small_airport,Adado Airport,1001,AF,SO,SO-GA,Adado,,AAD,,"6.095802, 46.6375"
DABB,medium_airport,Annaba Rabah Bitat Airport,16,AF,DZ,DZ-23,Annaba,DABB,AAE,,"36.826781, 7.81334"
KAAF,small_airport,Apalachicola Regional Airport,20,NA,US,US-FL,Apalachicola,KAAF,AAF,AAF,"29.72750092, -85.02749634"
SSYA,small_airport,Avelino Vieira Airport,2641,SA,BR,BR-PR,Arapoti,,AAG,PR0020,"-24.103901, -49.789101"
EDKA,small_airport,Aachen-Merzbrück Airport,623,EU,DE,DE-NW,Aachen,EDKA,AAH,,"50.823055, 6.186389"
SWRA,small_airport,Arraias Airport,1923,SA,BR,BR-TO,Arraias,,AAI,,"-13.025154, -46.884107"
SR-AAJ,small_airport,Cayana Airstrip,360,SA,SR,SR-SI,Awaradam,SMCA,AAJ,,"3.898681, -55.577907"
NGUK,small_airport,Aranuka Airport,6,OC,KI,KI-G,Buariki,NGUK,AAK,,"0.185278, 173.636993"
EKYT,medium_airport,Aalborg Airport,10,EU,DK,DK-81,Aalborg,EKYT,AAL,,"57.092759, 9.849243"
FAMD,medium_airport,Malamala Airport,1124,AF,ZA,ZA-NP,Malamala,FAMD,AAM,,"-24.818099975585938, 31.544599533081055"
OMAL,medium_airport,Al Ain International Airport,869,AS,AE,AE-AZ,Al Ain,OMAL,AAN,,"24.261699676513672, 55.60919952392578"
SVAN,medium_airport,Anaco Airport,721,SA,VE,VE-B,Anaco,SVAN,AAO,,"9.430225, -64.470726"
WALS,medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,82,AS,ID,ID-KI,Samarinda,WALS,AAP,,"-0.374478, 117.250128"
URKA,medium_airport,Anapa Vityazevo Airport,174,EU,RU,RU-KDA,Krasnyi Kurgan,URKA,AAQ,,"45.002102, 37.347301"
EKAH,medium_airport,Aarhus Airport,82,EU,DK,DK-82,Aarhus,EKAH,AAR,,"56.303331, 10.618286"
ID-AAS,small_airport,Apalapsili Airport,3100,AS,ID,ID-PP,Apalapsili,,AAS,APA,"-3.882495, 139.310932"
CN-0113,medium_airport,Altay Xuedu Airport,2460,AS,CN,CN-65,Altay,ZWAT,AAT,,"47.749886, 88.085808"
NSAU,small_airport,Asau Airport,,OC,WS,WS-VS,Asau,NSAU,AAU,,"-13.505132, -172.627888"
RPMA,medium_airport,Allah Valley Airport,659,AS,PH,PH-SCO,Surallah,RPMA,AAV,,"6.367903, 124.752431"
SBAX,small_airport,Romeu Zema Airport,3276,SA,BR,BR-MG,Araxá,SBAX,AAX,MG0008,"-19.5632, -46.9604"
OYGD,medium_airport,Al Ghaydah International Airport,134,AS,YE,YE-MR,Al Ghaydah,OYGD,AAY,,"16.193341, 52.174186"
MGQZ,small_airport,Quezaltenango Airport,7779,NA,GT,GT-QZ,Quezaltenango,MGQZ,AAZ,,"14.8656, -91.501999"
UNAA,medium_airport,Abakan International Airport,831,EU,RU,RU-KK,Abakan,UNAA,ABA,,"53.740002, 91.385002"
DNAS,medium_airport,Asaba International Airport,305,AF,NG,NG-DE,Asaba,DNAS,ABB,,"6.204167, 6.665278"
LEAB,medium_airport,Albacete Airport / Los Llanos Air Base,2302,EU,ES,ES-CM,Albacete,LEAB,ABC,,"38.948502, -1.86352"
OIAA,medium_airport,Abadan Airport,10,AS,IR,IR-06,Abadan,OIAA,ABD,,"30.367887, 48.230075"
KABE,medium_airport,Lehigh Valley International Airport,393,NA,US,US-PA,Allentown,KABE,ABE,ABE,"40.651773, -75.442797"
NGAB,small_airport,Abaiang Airport,26,OC,KI,KI-G,Abaiang,NGAB,ABF,,"1.79861, 173.041"
YABI,small_airport,Abingdon Downs Airport,573,OC,AU,AU-QLD,,YABI,ABG,,"-17.608814, 143.183531"
KABI,medium_airport,Abilene Regional Airport,1791,NA,US,US-TX,Abilene,KABI,ABI,ABI,"32.4113006592, -99.68190002440001"
DIAP,medium_airport,Félix-Houphouët-Boigny International Airport,21,AF,CI,CI-AB,Abidjan,DIAP,ABJ,,"5.26139, -3.92629"
HAKD,medium_airport,Kebri Dahar Airport,1800,AF,ET,ET-SO,Kebri Dahar,HAKD,ABK,,"6.732577, 44.241339"
PAFM,medium_airport,Ambler Airport,334,NA,US,US-AK,Ambler,PAFM,ABL,AFM,"67.107043, -157.854308"
YNPE,small_airport,Northern Peninsula Airport,34,OC,AU,AU-QLD,Bamaga,YNPE,ABM,,"-10.946194, 142.455081"
SMBN,small_airport,Albina Airport,19,SA,SR,SR-MA,Albina,SMBN,ABN,,"5.51272, -54.050098"
DIAO,small_airport,Aboisso Airport,95,AF,CI,CI-CM,Aboisso,DIAO,ABO,,"5.461944, -3.234722"
ABP,small_airport,Atkamba Airport,150,OC,PG,PG-WPD,Atkamba Mission,,ABP,AKA,"-6.06462, 141.095173"
KABQ,medium_airport,Albuquerque International Sunport,5355,NA,US,US-NM,Albuquerque,KABQ,ABQ,ABQ,"35.040199, -106.609001"
KABR,medium_airport,Aberdeen Regional Airport,1302,NA,US,US-SD,Aberdeen,KABR,ABR,ABR,"45.449100494384766, -98.42179870605469"
HEBL,medium_airport,Abu Simbel Airport,614,AF,EG,EG-ASN,Abu Simbel,HEBL,ABS,,"22.367657, 31.609962"
OEBA,medium_airport,King Saud Bin Abdulaziz (Al Baha) Airport,5486,AS,SA,SA-11,Al-Baha,OEBA,ABT,,"20.298506, 41.636153"
WRKA,small_airport,AA Bere Tallo (Haliwen) Airport,1027,AS,ID,ID-NT,Atambua,WATA,ABU,,"-9.074841, 124.903285"
DNAA,large_airport,Nnamdi Azikiwe International Airport,1123,AF,NG,NG-FC,Abuja,DNAA,ABV,,"9.006790161132812, 7.263169765472412"
YMAY,medium_airport,Albury Airport,539,OC,AU,AU-NSW,Albury,YMAY,ABX,,"-36.066758, 146.959148"
KABY,medium_airport,Southwest Georgia Regional Airport,197,NA,US,US-GA,Albany,KABY,ABY,ABY,"31.532946, -84.196215"
EGPD,medium_airport,Aberdeen Dyce Airport,215,EU,GB,GB-SCT,Aberdeen,EGPD,ABZ,,"57.2019, -2.19778"
MMAA,large_airport,Aeropuerto Internacional Juan N. Álvarez,16,NA,MX,MX-GRO,Ciudad de Acapulco,MMAA,ACA,,"16.762118, -99.755473"
KACB,small_airport,Antrim County Airport,623,NA,US,US-MI,Bellaire,KACB,ACB,ACB,"44.988602, -85.198402"
DGAA,large_airport,Kotoka International Airport,205,AF,GH,GH-AA,Accra,DGAA,ACC,,"5.605189800262451, -0.16678600013256073"
SKAD,small_airport,Alcides Fernández Airport,50,SA,CO,CO-CHO,Acandí,SKAD,ACD,ACD,"8.497847, -77.274106"
GCRR,large_airport,César Manrique-Lanzarote Airport,46,AF,ES,ES-CN,San Bartolomé,GCRR,ACE,,"28.945499, -13.6052"
ZWAL,small_airport,Aral Tarim Airport,,AS,CN,CN-65,Aral,ZWAL,ACF,,"40.464167, 81.246944"
LSZR,medium_airport,St Gallen Altenrhein Airport,1306,EU,CH,CH-SG,Altenrhein,LSZR,ACH,,"47.485001, 9.56077"
EGJA,medium_airport,Alderney Airport,290,EU,GG,GG-U-A,Saint Anne,EGJA,ACI,,"49.706104, -2.21472"
VCCA,medium_airport,Anuradhapura Airport,324,AS,LK,LK-7,Anuradhapura,VCCA,ACJ,,"8.301542, 80.42848"
KACK,medium_airport,Nantucket Memorial Airport,47,NA,US,US-MA,Nantucket,KACK,ACK,ACK,"41.25310135, -70.06020355"
ACM,small_airport,Arica Airport,316,NA,CO,CO-AMA,Arica,,ACM,,"-2.144851, -71.758389"
MMCC,small_airport,Ciudad Acuña New International Airport,1410,NA,MX,MX-COA,Ciudad Acuña,MMCC,ACN,EFN,"29.333662, -101.100555"
OITM,small_airport,Sahand Airport,4396,AS,IR,IR-03,Maragheh,OITM,ACP,,"37.347999572753906, 46.127899169921875"
SKAC,small_airport,Araracuara Airport,1250,NA,CO,CO-CAQ,Araracuara,SKAC,ACR,ACR,"-0.600854, -72.398011"
UNKS,medium_airport,Achinsk Airport,1033,EU,RU,RU-KYA,Achinsk,UNKS,ACS,,"56.269185, 90.57511"
KACT,medium_airport,Waco Regional Airport,516,NA,US,US-TX,Waco,KACT,ACT,ACT,"31.611299514770508, -97.23049926757812"
PA-0001,small_airport,Achutupu Airport,10,NA,PA,PS-GY,Mamitupu,MPAC,ACU,,"9.188481, -77.994153"
KACV,medium_airport,California Redwood Coast-Humboldt County Airport,221,NA,US,US-CA,Arcata/Eureka,KACV,ACV,ACV,"40.978101, -124.109"
ZUYI,medium_airport,Xingyi Wanfenglin Airport,4150,AS,CN,CN-52,Xingyi,ZUYI,ACX,,"25.083423, 104.960804"
KACY,medium_airport,Atlantic City International Airport,75,NA,US,US-NJ,Atlantic City,KACY,ACY,ACY,"39.45759963989258, -74.57720184326172"
OIZB,medium_airport,Zabol Airport,1628,AS,IR,IR-11,Zabol,OIZB,ACZ,,"31.098301, 61.5439"
LTAF,medium_airport,Adana Şakirpaşa Airport,65,AS,TR,TR-01,Seyhan,LTAF,ADA,,"36.982201, 35.280399"
LTBJ,large_airport,Adnan Menderes International Airport,412,AS,TR,TR-35,İzmir,LTBJ,ADB,,"38.2924, 27.157"
ADC,small_airport,Andakombe Airport,3600,OC,PG,PG-EHG,Andekombe,AYAN,ADC,ADK,"-7.13722222222, 145.744722222"
HAAB,large_airport,Addis Ababa Bole International Airport,7630,AF,ET,ET-AA,Addis Ababa,HAAB,ADD,,"8.97789, 38.799301"
OYAA,medium_airport,Aden International Airport,7,AS,YE,YE-AD,Aden,OYAA,ADE,,"12.8295, 45.028801"
LTCP,medium_airport,Adıyaman Airport,2216,AS,TR,TR-02,Adıyaman,LTCP,ADF,,"37.7314, 38.468899"
KADG,small_airport,Lenawee County Airport,798,NA,US,US-MI,Adrian,KADG,ADG,ADG,"41.866205, -84.077983"
UEEA,small_airport,Aldan Airport,2241,AS,RU,RU-SA,Aldan,UEEA,ADH,,"58.60279846191406, 125.40899658203125"
FYAR,medium_airport,Arandis Airport,1905,AF,NA,NA-ER,Arandis,FYAR,ADI,,"-22.461875, 14.979322"
OJAM,medium_airport,Amman Civil (Marka International) Airport,2555,AS,JO,JO-AM,Amman,OJAM,ADJ,,"31.9727, 35.9916"
PADK,medium_airport,Adak Airport,18,NA,US,US-AK,Adak,PADK,ADK,ADK,"51.883564, -176.642783"
YPAD,large_airport,Adelaide International Airport,20,OC,AU,AU-SA,Adelaide,YPAD,ADL,,"-34.947512, 138.533393"
KADM,small_airport,Ardmore Municipal Airport,777,NA,US,US-OK,Ardmore,KADM,ADM,ADM,"34.30301, -97.0196342"
YAMK,small_airport,Andamooka Airport,76,OC,AU,AU-SA,,YAMK,ADO,,"-30.438299, 137.136993"
VCCG,medium_airport,Ampara Airport,150,AS,LK,LK-5,Ampara,VCCG,ADP,,"7.336745, 81.623869"
PADQ,medium_airport,Kodiak Airport,78,NA,US,US-AK,Kodiak,PADQ,ADQ,ADQ,"57.75, -152.4940033"
KPHH,small_airport,Robert F Swinnie Airport,26,NA,US,US-SC,Andrews,KPHH,ADR,PHH,"33.4516983032, -79.5261993408"
KADS,small_airport,Addison Airport,644,NA,US,US-TX,Dallas,KADS,ADS,ADS,"32.9686012268, -96.8364028931"
KADH,small_airport,Ada Regional Airport,1016,NA,US,US-OK,Ada,KADH,ADT,ADH,"34.805214, -96.671988"
OITL,medium_airport,Ardabil Airport,4315,AS,IR,IR-24,Ardabil,OITL,ADU,,"38.3256988525, 48.4244003296"
ADV,small_airport,El Daein Airport,1560,AF,SD,SD-DE,El Daein,,ADV,,"11.4023, 26.1186"
KADW,large_airport,Joint Base Andrews,280,NA,US,US-MD,Camp Springs,KADW,ADW,ADW,"38.810799, -76.866997"
EGQL,medium_airport,Leuchars Station Airfield,38,EU,GB,GB-SCT,"Leuchars, Fife",EGQL,ADX,,"56.37398, -2.868862"
FAAL,small_airport,Alldays Airport,2600,AF,ZA,ZA-NP,Alldays,FAAL,ADY,,"-22.679001, 29.0555"
SKSP,medium_airport,Gustavo Rojas Pinilla International Airport,19,SA,CO,CO-SAP,San Andrés,SKSP,ADZ,ADZ,"12.5836, -81.7112"
NGTB,small_airport,Abemama Airport,8,OC,KI,KI-G,Abemama,NGTB,AEA,,"0.490759, 173.830287"
CN-0082,medium_airport,Baise Youjiang Airport,490,AS,CN,CN-45,Baise (Tianyang),ZGBS,AEB,,"23.7206, 106.959999"
AEE,small_airport,Adareil Airport,1301,AF,SS,SS-23,Adar,HJAR,AEE,,"10.053611, 32.959444"
WIME,medium_airport,Aek Godang Airport,922,AS,ID,ID-SU,Padang Sidempuan,WIME,AEG,,"1.4001, 99.430496"
FTTC,medium_airport,Abeche Airport,1788,AF,TD,TD-OD,Abeche,FTTC,AEH,,"13.847, 20.844299"
AEI,heliport,Algeciras Heliport,98,AF,ES,ES-AN,Algeciras,LEAG,AEI,,"36.12882, -5.441079"
AEK,small_airport,Aseki Airport,4106,OC,PG,PG-MPL,Aseki,AYAX,AEK,ASE,"-7.350805, 146.193994"
KAEL,small_airport,Albert Lea Municipal Airport,1260,NA,US,US-MN,Albert Lea,KAEL,AEL,AEL,"43.68149948, -93.36720276"
UHTG,small_airport,Amgu Airport,10,AS,RU,RU-PRI,Amgu,UHTG,AEM,,"45.84126, 137.673568"
GQNA,small_airport,Aioun el Atrouss Airport,951,AF,MR,MR-02,Aioun El Atrouss,GQNA,AEO,,"16.711299896240234, -9.637880325317383"
SABE,large_airport,Jorge Newbery Airpark,18,SA,AR,AR-C,Buenos Aires,SABE,AEP,AER,"-34.5592, -58.4156"
AEQ,small_airport,Ar Horqin Airport,1335,AS,CN,CN-15,Chifeng,,AEQ,,"43.87042, 120.15958"
URSS,large_airport,Sochi International Airport,89,EU,RU,RU-KDA,Sochi,URSS,AER,,"43.449902, 39.9566"
ENAL,medium_airport,"Ålesund Airport, Vigra",69,EU,NO,NO-15,Ålesund,ENAL,AES,,"62.5625, 6.1197"
PFAL,small_airport,Allakaket Airport,441,NA,US,US-AK,Allakaket,PFAL,AET,6A8,"66.5518035889, -152.621994019"
OIBA,medium_airport,Abu Musa Island Airport,23,AS,IR,IR-22,Abu Musa,OIBA,AEU,,"25.8757, 55.033001"
KAEX,medium_airport,Alexandria International Airport,89,NA,US,US-LA,Alexandria,KAEX,AEX,AEX,"31.3274, -92.549797"
BIAR,medium_airport,Akureyri Airport,6,EU,IS,IS-6,Akureyri,BIAR,AEY,,"65.66000366210938, -18.07270050048828"
SAMR,medium_airport,Suboficial Ay Santiago Germano Airport,2470,SA,AR,AR-M,San Rafael,SAMR,AFA,SRA,"-34.588299, -68.4039"
ACFC,small_airport,Angeles City Flying Club,100,AS,PH,PH-U-A,MG,ACFC,AFC,,"15.254326, 120.677772"
FAPA,small_airport,Port Alfred Airport,275,AF,ZA,ZA-EC,Port Alfred,FAPA,AFD,,"-33.555057, 26.881656"
KAFF,small_airport,USAF Academy Airfield,6572,NA,US,US-CO,Colorado Springs,KAFF,AFF,AFF,"38.972497, -104.821125"
SKAM,small_airport,Amalfi Airport,5507,NA,CO,CO-ANT,Amalfi,SKAM,AFI,AFI,"6.895033, -75.047334"
AFK,seaplane_base,Kondavattavana Tank Seaplane Base,95,AS,LK,LK-5,Ampara,,AFK,,"7.284, 81.644"
SBAT,medium_airport,Piloto Osvaldo Marques Dias Airport,948,SA,BR,BR-MT,Alta Floresta,SBAT,AFL,MT0003,"-9.866389, -56.106298"
KAFN,small_airport,Jaffrey Airfield Silver Ranch Airport,1040,NA,US,US-NH,Jaffrey,KAFN,AFN,AFN,"42.805099, -72.002998"
KAFO,small_airport,Afton Municipal Airport,6221,NA,US,US-WY,Afton,KAFO,AFO,AFO,"42.7112007141, -110.942001343"
AFR,small_airport,Afore Airstrip,2500,OC,PG,PG-NPP,,AYAF,AFR,AFE,"-9.142222222220001, 148.390833333"
UTSN,small_airport,Sugraly Airport,1396,AS,UZ,UZ-NW,Zarafshan,UTSN,AFS,,"41.613899, 64.2332"
AGAF,small_airport,Afutara Aerodrome,23,OC,SB,SB-ML,Bila,AGAF,AFT,,"-9.19138888889, 160.948611111"
KAFW,medium_airport,Perot Field/Fort Worth Alliance Airport,722,NA,US,US-TX,Fort Worth,KAFW,AFW,AFW,"32.99044, -97.31947"
LTAH,medium_airport,Afyon Air Base,3310,AS,TR,TR-03,Afyonkarahisar,LTAH,AFY,,"38.726398, 30.601101"
OIMS,medium_airport,Sabzevar National Airport,3010,AS,IR,IR-09,Sabzevar,OIMS,AFZ,,"36.16809844970703, 57.59519958496094"
GMAD,medium_airport,Al Massira Airport,250,AF,MA,MA-AGD,Agadir (Temsia),GMAD,AGA,,"30.322478, -9.412003"
EDMA,medium_airport,Augsburg Airport,1516,EU,DE,DE-BY,Augsburg,EDMA,AGB,,"48.425278, 10.931667"
KAGC,medium_airport,Allegheny County Airport,1252,NA,US,US-PA,Pittsburgh,KAGC,AGC,AGC,"40.354401, -79.930199"
ID-AGD,small_airport,Anggi Airport,6644,AS,ID,ID-PB,Anggi-Papua Island,WASG,AGD,,"-1.3858, 133.8737"
EDWG,small_airport,Wangerooge Airport,7,EU,DE,DE-NI,Wangerooge,EDWG,AGE,,"53.782544, 7.919584"
LFBA,medium_airport,Agen-La Garenne Airport,204,EU,FR,FR-NAQ,Agen/La Garenne,LFBA,AGF,,"44.17470169067383, 0.5905560255050659"
AGG,small_airport,Angoram Airport,75,OC,PG,PG-ESW,Angoram,,AGG,ANG,"-4.05583333333, 144.073888889"
ESTA,medium_airport,Ängelholm-Helsingborg Airport,68,EU,SE,SE-M,Ängelholm,ESTA,AGH,,"56.29610061645508, 12.847100257873535"
SMWA,small_airport,Wageningen Airstrip,6,SA,SR,SR-NI,Wageningen,SMWA,AGI,,"5.841252, -56.673247"
RORA,small_airport,Aguni Airport,38,AS,JP,JP-47,Aguni,RORA,AGJ,,"26.592755, 127.240335"
AGK,small_airport,Kagua Airport,5350,OC,PG,PG-SHM,Kagua,,AGK,,"-6.396388888890001, 143.853611111"
AGL,small_airport,Wanigela Airport,53,OC,PG,PG-NPP,,AYWG,AGL,WGL,"-9.3375, 149.155555556"
BGAM,heliport,Tasiilaq Heliport,24,NA,GL,GL-SE,Tasiilaq,BGAM,AGM,AGM,"65.612296, -37.618335"
PAGN,seaplane_base,Angoon Seaplane Base,,NA,US,US-AK,Angoon,PAGN,AGN,AGN,"57.497097, -134.56722"
KAGO,small_airport,Magnolia Municipal Airport / Ralph C Weiser Field,319,NA,US,US-AR,Magnolia,KAGO,AGO,AGO,"33.228001, -93.217002"
LEMG,large_airport,Málaga-Costa del Sol Airport,53,EU,ES,ES-AN,Málaga,LEMG,AGP,,"36.6749, -4.49911"
VIAG,medium_airport,Agra Airport / Agra Air Force Station,551,AS,IN,IN-UP,Agra,VIAG,AGR,,"27.157683, 77.960942"
KAGS,medium_airport,Augusta Regional At Bush Field,144,NA,US,US-GA,Augusta,KAGS,AGS,AGS,"33.3699, -81.9645"
SGES,large_airport,Aeropuerto Internacional Guaraní,846,SA,PY,PY-10,Ciudad del Este,SGES,AGT,,"-25.457186, -54.839544"
MMAS,medium_airport,Governor Jesús Terán Peredo International Airport,6112,NA,MX,MX-AGU,Aguascalientes,MMAS,AGU,,"21.699589, -102.318372"
SVAC,medium_airport,Oswaldo Guevara Mujica Airport,640,SA,VE,VE-P,Acarigua,SVAC,AGV,,"9.553375, -69.237869"
AU-AGW,small_airport,Agnew Airport,160,OC,AU,AU-QLD,Agnew,YAGN,AGW,,"-12.1456, 142.149369"
VOAT,medium_airport,Agatti Airport,14,AS,IN,IN-LD,Agatti,VOAT,AGX,,"10.8237, 72.176003"
AGY,small_airport,Argyle Downs Airport,407,OC,AU,AU-WA,Argyle Downs,,AGY,,"-16.508604, 128.922485"
FAAG,medium_airport,Aggeneys Airport,2648,AF,ZA,ZA-NC,Aggeneys,FAAG,AGZ,,"-29.28179931640625, 18.813899993896484"
OEAB,medium_airport,Abha International Airport,6858,AS,SA,SA-14,Abha,OEAB,AHB,,"18.2404, 42.656601"
KAHC,small_airport,Amedee Army Air Field,4012,NA,US,US-CA,Herlong,KAHC,AHC,AHC,"40.26620102, -120.1529999"
K1F0,small_airport,Ardmore Downtown Executive Airport,844,NA,US,US-OK,Ardmore,,AHD,1F0,"34.1469993591, -97.1227035522"
NTHE,medium_airport,Ahe Airport,11,OC,PF,PF-U-A,Ahe Atoll,NTHE,AHE,,"-14.428099632263184, -146.2570037841797"
K37V,small_airport,Arapahoe Municipal Airport,2270,NA,US,US-NE,Arapahoe,,AHF,37V,"40.341576, -99.907839"
KAHH,small_airport,Amery Municipal Airport,1088,NA,US,US-WI,Amery,KAHH,AHH,AHH,"45.2811012268, -92.37539672850001"
WAPA,small_airport,Amahai Airport,29,AS,ID,ID-MA,Amahai,WAPA,AHI,,"-3.347851, 128.927093"
AHJ,medium_airport,Hongyuan Airport,11600,AS,CN,CN-51,Ngawa (Hongyuan),ZUHY,AHJ,,"32.53154, 102.35224"
SYAH,small_airport,Aishalton Airport,587,SA,GY,GY-UT,Aishalton,SYAH,AHL,,"2.473206, -59.321596"
KS03,small_airport,Ashland Municipal Airport-Sumner Parker Field,1885,NA,US,US-OR,Ashland,,AHM,S03,"42.190265, -122.660648"
KAHN,medium_airport,Athens Ben Epps Airport,808,NA,US,US-GA,Athens,KAHN,AHN,AHN,"33.94860076904297, -83.32630157470703"
LIEA,medium_airport,Alghero-Fertilia Airport,87,EU,IT,IT-88,Alghero,LIEA,AHO,SS02,"40.632099, 8.29077"
MHAH,small_airport,Ahuas Airport,249,NA,HN,HN-GD,Ahuas,MHAH,AHS,,"15.4722, -84.352203"
GMTA,medium_airport,Cherif Al Idrissi Airport,95,AF,MA,MA-HOC,Al Hoceima,GMTA,AHU,,"35.177101135253906, -3.83951997756958"
AHY,small_airport,Ambatolhy Airport,340,AF,MG,MG-U,Ambatolahy,,AHY,,"-20.015833333299998, 45.535"
LFHU,small_airport,Altiport L'Alpe d'Huez - Henri GIRAUD,6102,EU,FR,FR-ARA,L'Alpe d'Huez,LFHU,AHZ,,"45.087399, 6.083604"
KAIA,small_airport,Alliance Municipal Airport,3931,NA,US,US-NE,Alliance,KAIA,AIA,AIA,"42.0531997681, -102.804000854"
AIP,small_airport,Ailinglaplap Airok Airport,16,OC,MH,MH-ALL,Bigatyelang Island,,AIC,,"7.279422, 168.8257"
KAID,small_airport,Anderson Municipal Darlington Field,919,NA,US,US-IN,Anderson,KAID,AID,AID,"40.10860061649999, -85.6129989624"
AIE,small_airport,Aiome Airport,350,OC,PG,PG-MPM,Aiome,AYAO,AIE,AIO,"-5.145699978, 144.7307003"
SNAX,small_airport,Marcelo Pires Halzhausen Airport,1850,SA,BR,BR-SP,Assis,SNAX,AIF,SNAX,"-22.64, -50.453056"
FEFY,small_airport,Yalinga Airport,1975,AF,CF,CF-HK,Yalinga,FEFY,AIG,,"6.519999980926514, 23.260000228881836"
AIH,small_airport,Aiambak Airport,90,OC,PG,PG-WPD,Aiambak,AYAK,AIH,AMB,"-7.342777777779999, 141.2675"
HDAS,small_airport,Ali-Sabieh Airport,2313,AF,DJ,DJ-AS,Ali-Sabieh,HDAS,AII,,"11.146889, 42.72"
KAIK,small_airport,Aiken Regional Airport,528,NA,US,US-SC,Aiken,KAIK,AIK,AIK,"33.649399, -81.684998"
PA-0003,small_airport,Ailigandí Airport,55,NA,PA,PS-GY,Isla Lorenzo Bello,MPAI,AIL,,"9.2226, -78.0236"
MH-AIM,small_airport,Ailuk Airport,,OC,MH,MH-ALK,Ailuk Island,,AIM,,"10.21679973602295, 169.98300170898438"
PAWI,medium_airport,Wainwright Airport,41,NA,US,US-AK,Wainwright,PAWI,AIN,AWI,"70.638, -159.994995"
KAIO,small_airport,Atlantic Municipal Airport,1165,NA,US,US-IA,Atlantic,KAIO,AIO,AIO,"41.40729904, -95.04689789"
VIAX,small_airport,Adampur Airport,775,AS,IN,IN-PB,Adampur,VIAX,AIP,,"31.4338, 75.758797"
SWRP,small_airport,Aripuanã Airport,623,SA,BR,BR-MT,Aripuanã,SSOU,AIR,SSOU,"-10.188278, -59.457273"
NGTR,small_airport,Arorae Island Airport,,OC,KI,KI-G,Arorae Island,NGTR,AIS,,"-2.61611008644104, 176.80299377441406"
NCAI,small_airport,Aitutaki Airport,14,OC,CK,CK-U-A,Aitutaki,NCAI,AIT,,"-18.8309, -159.764008"
NCAT,small_airport,Enua Airport,36,OC,CK,CK-U-A,Atiu Island,NCAT,AIU,,"-19.96780014038086, -158.11900329589844"
KAIV,small_airport,George Downer Airport,150,NA,US,US-AL,Aliceville,KAIV,AIV,AIV,"33.106499, -88.1978"
FYAA,small_airport,Ai-Ais Airport,2000,AF,NA,NA-KA,Ai-Ais,FYAA,AIW,,"-27.995, 17.5966"
KAIZ,small_airport,Lee C Fine Memorial Airport,869,NA,US,US-MO,Kaiser Lake Ozark,KAIZ,AIZ,AIZ,"38.0960006714, -92.54949951170002"
LFKJ,medium_airport,Ajaccio-Napoléon Bonaparte Airport,18,EU,FR,FR-COR,Ajaccio/Napoléon Bonaparte,LFKJ,AJA,,"41.92359924316406, 8.8029203414917"
OESK,medium_airport,Al-Jawf Domestic Airport,2261,AS,SA,SA-12,Al-Jawf,OESK,AJF,,"29.78510093688965, 40.099998474121094"
LTCO,medium_airport,Ağrı Airport,5462,AS,TR,TR-04,Ağrı,LTCO,AJI,,"39.655642, 43.025742"
GQNJ,small_airport,Akjoujt Airport,403,AF,MR,MR-12,Akjoujt,GQNJ,AJJ,,"19.727998, -14.377214"
OIHR,small_airport,Arak Airport,5440,AS,IR,IR-00,Araak,OIHR,AJK,,"34.138099670410156, 49.8473014831543"
VELP,medium_airport,Lengpui Airport,1398,AS,IN,IN-MZ,Aizawl (Lengpui),VELP,AJL,,"23.840599, 92.619698"
FMCV,medium_airport,Ouani Airport,62,AF,KM,KM-A,Ouani,FMCV,AJN,,"-12.131047, 44.430044"
ESNX,medium_airport,Arvidsjaur Airport,1245,EU,SE,SE-BD,Arvidsjaur,ESNX,AJR,,"65.59030151367188, 19.28190040588379"
MX-AJS,small_airport,Punta Abreojos Airport,26,NA,MX,MX-BCS,Mulegé,,AJS,AJS,"26.7272, -113.558998"
SBAR,medium_airport,Aracaju - Santa Maria International Airport,139,SA,BR,BR-SE,Aracaju,SBAR,AJU,SE0001,"-10.984, -37.070301"
DRZA,medium_airport,Mano Dayak International Airport,1657,AF,NE,NE-1,Agadez,DRZA,AJY,,"16.965999603271484, 8.000109672546387"
ZLAK,small_airport,Ankang Fuqiang Airport,1209,AS,CN,CN-61,Ankang (Hanbin),ZLAK,AKA,,"32.75696, 108.87338"
PAAK,small_airport,Atka Airport,57,NA,US,US-AK,Atka,PAAK,AKB,AKA,"52.22029877, -174.2059937"
KAKR,medium_airport,Akron Executive Airport,1067,NA,US,US-OH,Akron,KAKR,AKC,AKR,"41.037498, -81.466904"
VAAK,medium_airport,Akola Airport,999,AS,IN,IN-MM,Akola,VAAK,AKD,,"20.698931, 77.056883"
GA-AKE,small_airport,Akieni Airport,1660,AF,GA,GA-2,Akieni,FOGA,AKE,,"-1.13967001438, 13.9035997391"
HLKF,medium_airport,Kufra Airport,1367,AF,LY,LY-KF,Kufra,HLKF,AKF,,"24.178699493408203, 23.31399917602539"
